Unnamed: 0,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
75,30-Sep-2016,8581.5,8637.15,8555.2,8611.15,187333285,8849.27
76,03-Oct-2016,8666.15,8745.2,8635.0,8738.1,141472076,7173.62
77,04-Oct-2016,8770.0,8783.65,8736.1,8769.15,189990151,8251.59
78,05-Oct-2016,8806.35,8806.95,8731.4,8743.95,162103951,6866.33
79,06-Oct-2016,8768.7,8781.15,8684.65,8709.55,168713605,8114.93
80,07-Oct-2016,8721.7,8723.7,8663.8,8697.6,155053800,8144.3
81,10-Oct-2016,8735.35,8745.8,8703.95,8708.8,111794053,5159.83
82,13-Oct-2016,8671.5,8681.55,8541.35,8573.35,218861324,10581.55
83,14-Oct-2016,8594.0,8604.45,8549.8,8583.4,167848947,9613.47
84,17-Oct-2016,8612.95,8615.4,8506.15,8520.4,203516577,8590.35
85,18-Oct-2016,8556.05,8685.1,8555.9,8677.9,216626083,9162.11
86,19-Oct-2016,8697.5,8698.75,8636.7,8659.1,177397872,7790.01
87,20-Oct-2016,8693.35,8727.0,8678.3,8699.4,165952091,7120.32
88,21-Oct-2016,8708.6,8709.1,8652.05,8693.05,162162047,8022.44
89,24-Oct-2016,8709.85,8736.95,8684.15,8708.95,161966274,6876.28
90,25-Oct-2016,8721.7,8722.65,8663.45,8691.3,195696479,8718.02
91,26-Oct-2016,8657.3,8657.3,8596.6,8615.25,226133074,9696.9
92,27-Oct-2016,8607.1,8624.85,8550.25,8615.25,250336333,12300.53
93,28-Oct-2016,8625.0,8653.75,8581.75,8638.0,180906084,8953.72
94,30-Oct-2016,8672.35,8678.25,8616.25,8625.7,16610872,805.89
95,01-Nov-2016,8653.15,8669.6,8614.5,8626.25,170068995,8441.3
96,02-Nov-2016,8542.8,8549.5,8504.85,8514.0,160130480,7683.07
97,03-Nov-2016,8499.85,8537.65,8476.15,8484.95,175773254,7558.06
98,04-Nov-2016,8503.6,8504.0,8400.25,8433.75,231783152,11798.48
99,07-Nov-2016,8535.75,8535.85,8481.45,8497.05,178070534,8436.7
100,08-Nov-2016,8540.0,8559.4,8480.1,8543.55,201759648,8515.57
101,09-Nov-2016,8067.5,8476.2,8002.25,8432.0,323968654,15536.37
102,10-Nov-2016,8555.6,8598.45,8510.7,8525.75,271196930,12386.39
103,11-Nov-2016,8456.65,8460.6,8284.95,8296.3,275221694,12485.11
104,15-Nov-2016,8284.85,8288.55,8093.2,8108.45,370298063,17387.22
105,16-Nov-2016,8205.65,8210.05,8089.4,8111.6,277801233,13705.03
106,17-Nov-2016,8105.1,8151.25,8060.3,8079.95,197183084,8713.06
107,18-Nov-2016,8097.55,8128.95,8048.3,8074.1,166199545,7901.64
108,21-Nov-2016,8102.1,8102.45,7916.4,7929.1,225608889,9199.11
109,22-Nov-2016,7989.15,8019.05,7938.15,8002.3,216677654,9000.44
110,23-Nov-2016,8051.2,8055.2,7973.1,8033.3,186602328,8681.67
111,24-Nov-2016,8011.8,8024.85,7952.55,7965.5,268619026,11868.11
112,25-Nov-2016,8007.95,8122.25,7976.75,8114.3,183355873,8920.79
113,28-Nov-2016,8080.65,8146.5,8066.5,8126.9,195595287,8666.87
114,29-Nov-2016,8131.55,8197.35,8128.7,8142.15,195618384,8486.32
115,30-Nov-2016,8172.15,8234.25,8139.25,8224.5,255725357,14473.78
116,01-Dec-2016,8244.0,8250.8,8185.05,8192.9,162597213,7720.96
117,02-Dec-2016,8153.55,8159.3,8070.05,8086.8,176767415,8050.5
118,05-Dec-2016,8088.75,8141.9,8056.85,8128.75,130435865,6432.02
119,06-Dec-2016,8153.15,8178.7,8130.85,8143.15,118854323,5417.56
120,07-Dec-2016,8168.4,8190.45,8077.5,8102.05,175024334,7900.03
121,08-Dec-2016,8152.1,8256.25,8151.75,8246.85,146857616,7275.01
122,09-Dec-2016,8271.7,8274.95,8241.95,8261.75,154344775,6866.81
123,12-Dec-2016,8230.65,8230.65,8154.45,8170.8,111432551,5026.02
124,13-Dec-2016,8196.15,8228.85,8155.8,8221.8,189739559,8976.54
125,14-Dec-2016,8229.35,8229.4,8165.1,8182.45,149132520,6763.63
126,15-Dec-2016,8128.4,8225.9,8121.95,8153.6,187425988,8579.44
127,16-Dec-2016,8178.2,8178.7,8127.45,8139.45,209268331,9854.07
128,19-Dec-2016,8126.0,8132.5,8094.85,8104.35,110669713,5272.2
129,20-Dec-2016,8110.6,8124.1,8062.75,8082.4,132026742,6296.67
130,21-Dec-2016,8105.85,8112.55,8053.25,8061.3,127543733,6304.6
131,22-Dec-2016,8043.85,8046.45,7964.95,7979.1,126409580,6206.58
132,23-Dec-2016,7972.5,8022.6,7942.05,7985.75,127921701,5907.28
133,26-Dec-2016,7965.1,7970.05,7893.8,7908.25,110171222,4808.67
134,27-Dec-2016,7915.05,8044.65,7903.7,8032.85,122463312,5282.66
135,28-Dec-2016,8047.55,8100.55,8028.4,8034.85,130580701,5816.34
136,29-Dec-2016,8030.6,8111.1,8020.8,8103.6,183984077,7635.4
137,30-Dec-2016,8119.65,8197.0,8114.75,8185.8,131457250,5800.7
138,02-Jan-2017,8210.1,8212.0,8133.8,8179.5,122016111,5255.49
139,03-Jan-2017,8196.05,8219.1,8148.6,8192.25,131186021,6053.67
140,04-Jan-2017,8202.65,8218.5,8180.9,8190.5,136476345,6543.13
141,05-Jan-2017,8226.65,8282.65,8223.7,8273.8,163957452,8180.68
142,06-Jan-2017,8281.85,8306.85,8233.25,8243.8,143689850,7298.74
143,09-Jan-2017,8259.35,8263.0,8227.75,8236.05,102211190,5197.62
144,10-Jan-2017,8262.7,8293.8,8261.0,8288.6,147312927,6904.57
145,11-Jan-2017,8327.8,8389.0,8322.25,8380.65,192285417,8938.68
146,12-Jan-2017,8391.05,8417.2,8382.3,8407.2,177948383,7359.24
147,13-Jan-2017,8457.65,8461.05,8373.15,8400.35,190949616,9156.16
148,16-Jan-2017,8390.95,8426.7,8374.4,8412.8,127938836,6043.67
149,17-Jan-2017,8415.05,8440.9,8378.3,8398.0,125781216,6389.21
150,18-Jan-2017,8403.85,8460.3,8397.4,8417.0,168867039,7411.23
151,19-Jan-2017,8418.4,8445.15,8404.05,8435.1,170956149,7324.14
152,20-Jan-2017,8404.35,8423.65,8340.95,8349.35,208901233,9014.51
153,23-Jan-2017,8329.6,8404.15,8327.2,8391.5,200993100,8664.94
154,24-Jan-2017,8407.05,8480.95,8398.15,8475.8,184745781,8524.17
155,25-Jan-2017,8499.45,8612.6,8493.95,8602.75,301490150,13901.89
156,27-Jan-2017,8610.5,8672.7,8606.9,8641.25,283905821,11568.92
157,30-Jan-2017,8635.55,8662.6,8617.75,8632.75,314110760,9333.49
158,31-Jan-2017,8629.45,8631.75,8552.4,8561.3,537110119,14721.17
159,01-Feb-2017,8570.35,8722.4,8537.5,8716.4,337797412,13494.05
160,02-Feb-2017,8724.75,8757.6,8685.8,8734.25,292329202,11555.02
161,03-Feb-2017,8735.15,8748.25,8707.75,8740.95,196936238,8193.45
162,06-Feb-2017,8785.45,8814.1,8770.2,8801.05,200403782,8701.51
163,07-Feb-2017,8805.7,8809.3,8741.05,8768.3,233294532,9060.63
164,08-Feb-2017,8774.55,8791.25,8715.0,8769.05,225485726,9110.24
165,09-Feb-2017,8795.55,8821.4,8724.1,8778.4,193282248,8972.67
166,10-Feb-2017,8812.35,8822.1,8771.2,8793.55,232947341,10320.17
167,13-Feb-2017,8819.8,8826.9,8754.2,8805.05,211180353,8659.48
168,14-Feb-2017,8819.9,8820.45,8772.5,8792.3,194133563,8494.44
169,15-Feb-2017,8778.95,8807.9,8712.85,8724.7,222828919,10472.37
170,16-Feb-2017,8739.0,8783.95,8719.6,8778.0,190277738,9695.63
171,17-Feb-2017,8883.7,8896.45,8804.25,8821.7,307526025,23432.58
172,20-Feb-2017,8818.55,8886.25,8809.8,8879.2,173022362,7833.53
173,21-Feb-2017,8890.75,8920.8,8860.95,8907.85,181091326,8863.71
174,22-Feb-2017,8931.6,8960.75,8905.25,8926.9,254677956,13514.08
175,23-Feb-2017,8956.4,8982.15,8927.55,8939.5,388874096,17243.08
176,27-Feb-2017,8943.7,8951.8,8888.65,8896.7,195847099,10388.83
